time_idx,Real,predict
9985,0.058,0.167
9986,0.077,0.17
9987,0.081,0.174
9988,0.148,0.177
9989,0.096,0.179
9990,0.073,0.181
9991,0.339,0.183
9992,0.258,0.185
9993,0.165,0.186
9994,0.15,0.187
9995,0.131,0.189
9996,0.216,0.19
9997,0.136,0.191
9998,0.09,0.192
9999,0.091,0.193
10000,0.118,0.194
10001,0.146,0.194
10002,0.156,0.195
10003,0.161,0.196
10004,0.228,0.197
10005,0.258,0.198
10006,0.109,0.198
10007,0.13,0.199
10008,0.129,0.2
10009,0.081,0.201
10010,0.057,0.201
10011,0.115,0.202
10012,0.135,0.202
10013,0.089,0.203
10014,0.109,0.204
10015,0.326,0.204
10016,0.265,0.205
10017,0.213,0.205
10018,0.219,0.206
10019,0.232,0.207
10020,0.259,0.207
10021,0.208,0.208
10022,0.154,0.208
10023,0.178,0.209
10024,0.208,0.209
10025,0.878,0.209
10026,0.81,0.21
10027,0.412,0.21
10028,0.463,0.211
10029,0.524,0.211
10030,0.194,0.212
10031,0.243,0.212
10032,0.097,0.212
10033,0.098,0.213
10034,0.133,0.213
10035,0.134,0.214
10036,0.104,0.214
10037,0.091,0.214
10038,0.329,0.215
10039,0.47,0.215
10040,0.441,0.215
10041,0.389,0.215
10042,0.569,0.216
10043,0.338,0.216
10044,0.386,0.216
10045,0.511,0.217
10046,0.634,0.217
10047,0.553,0.217
10048,0.465,0.217
10049,0.374,0.218
10050,0.516,0.218
10051,0.603,0.218
10052,0.677,0.218
10053,0.705,0.219
10054,0.538,0.219
10055,0.314,0.219
10056,0.11,0.219
10057,0.188,0.219
10058,0.194,0.22
10059,0.163,0.22
10060,0.146,0.22
10061,0.193,0.22
10062,0.21,0.22
10063,0.407,0.221
10064,0.397,0.221
10065,0.294,0.221
10066,0.301,0.221
10067,0.716,0.221
10068,0.301,0.221
10069,0.31,0.222
10070,0.216,0.222
10071,1.423,0.222
10072,0.887,0.222
10073,3.121,0.222
10074,2.266,0.222
10075,1.72,0.222
10076,0.612,0.222
10077,0.595,0.223
10078,0.3,0.223
10079,0.313,0.223
10080,0.12,0.223
10081,0.197,0.223
10082,0.153,0.223
10083,0.13,0.223
10084,0.165,0.223
10085,0.211,0.223
10086,0.153,0.224
10087,0.576,0.224
10088,0.471,0.224
10089,0.316,0.224
10090,0.306,0.224
10091,0.36,0.224
10092,0.415,0.224
10093,0.64,0.224
10094,0.674,0.224
10095,1.402,0.224
10096,0.986,0.224
10097,2.767,0.224
10098,1.589,0.225
10099,0.655,0.225
10100,0.705,0.225
10101,0.568,0.225
10102,0.483,0.225
10103,0.355,0.225
10104,0.13,0.225
10105,0.114,0.225
10106,0.086,0.225
10107,0.191,0.225
10108,0.101,0.225
10109,0.096,0.225
10110,0.151,0.225
10111,0.72,0.225
10112,0.372,0.225
10113,0.29,0.225
10114,0.285,0.225
10115,1.121,0.225
10116,2.043,0.225
10117,1.227,0.226
10118,0.675,0.226
10119,1.609,0.226
10120,1.737,0.226
10121,0.613,0.226
10122,0.79,0.226
10123,0.716,0.226
10124,1.603,0.226
10125,1.979,0.226
10126,0.412,0.226
10127,0.329,0.226
10128,0.135,0.226
10129,0.122,0.226
10130,0.172,0.226
10131,0.11,0.226
10132,0.091,0.226
10133,0.127,0.226
10134,0.207,0.226
10135,0.777,0.226
10136,0.63,0.226
10137,0.371,0.226
10138,0.389,0.226
10139,0.372,0.226
10140,0.398,0.226
10141,0.496,0.226
10142,0.247,0.226
10143,0.961,0.226
10144,1.846,0.226
10145,1.822,0.226
10146,1.921,0.226
10147,2.625,0.226
10148,1.15,0.226
10149,0.863,0.226
10150,0.351,0.226
10151,0.359,0.226
10152,0.084,0.226
